1	As her father 🙁 nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.
0	After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.
0	To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.
0	Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.
0	In a city of coaching centers known to train India‚Äôs finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.
0	The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.
1	Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals ‚Äî and, hoof to heart, she‚Äôs determined to prove it.
1	On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.
0	A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.
1	A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden ‚Äî and a husband who's struggling to find a way forward.
0	Sicily boasts a bold "Anti-Mafia" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?
0	Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.
1	After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.
1	When the clever but socially-awkward Tet√™ joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.
0	Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
0	Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as "post-racial" as it thinks.
1	Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.
0	Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.
1	After a deadly home invasion at a couple‚Äôs new dream house, the traumatized wife searches for answers ‚Äî and learns the real danger is just beginning.
0	In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.
0	In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.
0	When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.
1	Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.
1	From arcade games to sled days and hiccup cures, Cory Carson‚Äôs curious little sister Chrissy speeds off on her own for fun and adventure all over town!
